"","logFC","logCPM","LR","PValue","FDR"
"PITA_24004",4.48523499962503,1.28712838193649,31.3847114592935,2.11640881110605e-08,5.79428176505866e-06
"PITA_48863",4.542204191489,2.02769328638072,31.3502615292591,2.15429676306414e-08,5.83657338651409e-06
"PITA_25422",3.29574320303752,6.23971348504735,30.9954701187023,2.58631349959792e-08,6.93478637227241e-06
"PITA_26345",3.07635982105546,4.98009272354669,30.7653558559951,2.91190372970628e-08,7.72813307203373e-06
"PITA_41577",3.43616864320549,2.2985931019223,30.1972479573795,3.90262847826591e-08,1.02528751607291e-05
"PITA_09847",3.04834613494782,3.81830595485725,30.1674151785737,3.96312378203746e-08,1.03076886447012e-05
"PITA_42485",3.9997363817428,1.85919072001789,30.1327671410915,4.03456372363111e-08,1.03803920445405e-05
"PITA_02646",5.80804449856571,4.21639745142877,30.1153800402688,4.07089849107283e-08,1.03803920445405e-05
"PITA_13618",5.13266924161714,0.55948137873028,29.8787942697283,4.59915558828578e-08,1.15018690092043e-05
"PITA_14694",7.09339857660875,-0.0503447319690653,29.7043354243873,5.03221519733699e-08,1.23474419875036e-05
"PITA_37045",4.23903448675016,1.06350762563845,29.1212154090534,6.79883843694016e-08,1.65262606454558e-05
"PITA_20670",4.15736906133678,5.14229695532471,28.8429438114678,7.84913324872459e-08,1.89026024690813e-05
"PITA_03663",4.58220877827822,0.876558333980298,28.810734916494,7.9807538224448e-08,1.90432501071529e-05
"PITA_22746",3.43168806625977,4.34767056881952,28.762833612668,8.18060245635912e-08,1.93426626624949e-05
"PITA_26942",4.71707602250958,0.951337029110657,28.6569795531654,8.64020147914187e-08,2.02453153397298e-05
"PITA_18094",5.70087632208797,0.363030162350035,28.5932025948344,8.92950960722354e-08,2.05528863163077e-05
"PITA_34519",4.26082336401277,1.76276807188417,28.5670045415744,9.05114497848923e-08,2.06501078724146e-05
"PITA_47272",4.05075428408112,3.37308075523412,28.0006595365394,1.2127411059589e-07,2.71915374352457e-05
